Dependent variable;Independent variable;Estimate;Std. Error;t value;P(>|t|)
Bazett QTc;variant;-9.1408;2.9763;-3.071;0.00215
Bazett QTc;age;0.24332;0.02261;10.76;<2e-16
Bazett QTc;sex;5.7520;0.5597;10.28;<2e-16
Bazett QTc;fit_ind;-0.4396;0.0593;-7.414;1.61e-13
Bazett QTc;bmi;0.43064;0.06942;6.204;6.28e-10
Bazett QTc;ca;-11.783;3.766;-3.129;0.00177
Bazett QTc;tsh;0.4161;0.3697;1.126;0.26
Bazett QTc;diast_bp;0.14739;0.02623;5.619;2.08e-08
Bazett QTc;syst_bp;0.18489;0.01567;11.8;<2e-16
Bazett QTc;ill_resp;1.1791;0.6035;1.954;0.0508
Bazett QTc;ill_heart;3.3366;1.3518;2.468;0.0136
Bazett QTc;ill_arrythmia;2.6559;1.0403;2.553;0.0107
Bazett QTc;med_other;1.6424;0.5100;3.22;0.00129
Bazett QTc;Principal component 1;42.6934;25.2909;1.688;0.0915
Bazett QTc;Principal component 2;-3.901;35.729;-0.109;0.913
Bazett QTc;Principal component 3;3.084;42.098;0.073;0.942
Bazett QTc;Principal component 4;-23.277;46.207;-0.504;0.614
